clinic_id,item_id,current_stock_units,weekly_consumption,days_of_stock_remaining,nearest_expiry_date,days_to_expiry,stockout_flag,expiry_risk_flag,priority_score,demo_subset,_data_provenance
CL-0001,MED_ACT,25,91,1.9,3/10/2028,578,TRUE,FALSE,0.81,TRUE,proxy_synthetic
CL-0001,MED_RDT_MAL,39,163,1.7,3/17/2027,219,TRUE,FALSE,0.81,TRUE,proxy_synthetic
CL-0001,MED_DENGUE_SUP,296,73,28.4,11/14/2027,461,FALSE,FALSE,0.2,FALSE,proxy_synthetic
CL-0001,MED_RDT_DEN,336,93,25.3,6/21/2027,315,FALSE,FALSE,0.21,TRUE,proxy_synthetic
CL-0001,MED_ORS,2677,335,55.9,12/10/2027,487,FALSE,FALSE,0.35,FALSE,proxy_synthetic
CL-0001,MED_CHOLERA_KIT,491,73,47.1,12/22/2027,499,FALSE,FALSE,0.31,TRUE,proxy_synthetic
CL-0001,VAC_OCV,410,132,21.7,4/28/2027,261,FALSE,FALSE,0.24,FALSE,proxy_synthetic
CL-0001,VAC_MEASLES,251,63,27.9,6/18/2028,678,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0001,VAC_OPV,260,71,25.6,7/19/2027,343,FALSE,FALSE,0.3,FALSE,proxy_synthetic
CL-0001,VAC_PENTA,576,74,54.5,3/25/2027,227,FALSE,FALSE,0.25,TRUE,proxy_synthetic
CL-0001,VAC_TT,406,48,59.2,2/10/2028,549,FALSE,FALSE,0.26,FALSE,proxy_synthetic
CL-0001,MED_ANTIVENOM,68,16,29.8,7/22/2027,346,FALSE,FALSE,0.29,FALSE,proxy_synthetic
CL-0001,MED_SNAKE_ANTIVENOM,213,23,64.8,4/24/2027,257,FALSE,FALSE,0.21,TRUE,proxy_synthetic
CL-0001,MED_SNAKE_WOUND,211,39,37.9,11/24/2026,106,FALSE,TRUE,0.44,FALSE,proxy_synthetic
CL-0001,MED_OXYTOCIN,25,40,4.4,12/1/2027,478,TRUE,FALSE,0.64,TRUE,proxy_synthetic
CL-0001,MED_METFORMIN,44,109,2.8,7/13/2028,703,TRUE,FALSE,0.78,FALSE,proxy_synthetic
CL-0001,MED_GLUCOSE,320,38,58.9,2/1/2028,540,FALSE,FALSE,0.29,TRUE,proxy_synthetic
CL-0001,MED_VIT_A,601,77,54.6,3/9/2027,211,FALSE,FALSE,0.25,TRUE,proxy_synthetic
CL-0001,MED_MUAC_KIT,277,34,57.0,4/7/2027,240,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0001,MED_ZINC_MAL,340,112,21.2,4/7/2028,606,FALSE,FALSE,0.22,FALSE,proxy_synthetic
CL-0001,VAC_HEPB,295,35,59.0,6/22/2027,316,FALSE,FALSE,0.28,FALSE,proxy_synthetic
CL-0001,VAC_BCG,361,39,64.8,10/13/2027,429,FALSE,FALSE,0.28,TRUE,proxy_synthetic
CL-0001,VAC_MR,254,39,45.6,6/26/2027,320,FALSE,FALSE,0.21,FALSE,proxy_synthetic
CL-0001,MED_TETANUS,167,20,58.5,11/7/2026,89,FALSE,TRUE,0.45,FALSE,proxy_synthetic
CL-0001,MED_DIABETES_INSULIN,257,29,62.0,10/30/2027,446,FALSE,FALSE,0.32,FALSE,proxy_synthetic
CL-0001,MED_GLIBENCLAMIDE,23,57,2.8,11/4/2027,451,TRUE,FALSE,0.76,FALSE,proxy_synthetic
CL-0001,MED_GLUCAGON,24,5,33.6,7/11/2027,335,FALSE,FALSE,0.23,FALSE,proxy_synthetic
CL-0001,MED_RUTF,229,54,29.7,10/16/2027,432,FALSE,FALSE,0.33,FALSE,proxy_synthetic
CL-0001,MED_F75,106,13,57.1,6/13/2028,673,FALSE,FALSE,0.33,TRUE,proxy_synthetic
CL-0001,MED_F100,89,17,36.6,11/23/2026,105,FALSE,TRUE,0.39,FALSE,proxy_synthetic
