clinic_id,clinic_name,clinic_name_mya,facility_level,bed_class,state_region_pcode,state_region,district_pcode,district,township_pcode,township,confidence,latitude,longitude,institutional_delivery_rate,skilled_birth_attendance_rate,full_vaccination_rate,current_stock_days_remaining,population_served,road_access_flag,_data_provenance
CL-0001,Sagaing General Hospital,စစ်ကိုင်းပြည်သူ့ဆေးရုံကြီး,General,200,MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,high confidence,21.873236000000077,95.97595200000006,0.254,0.261,0.604,24,6870,all_weather,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0002,Min Kun Station Hospital,မင်းကွန်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,high confidence,22.046313000000055,96.01900500000005,0.198,0.122,0.42,26,416,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0003,Ywar Thit Gyi Station Hospital,ရွာသစ်ကြီးတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,high confidence,21.92945700000007,95.77782000000008,0.205,0.233,0.514,0,583,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0004,Pa Du Station Hospital,ပဒူတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,high confidence,22.088675000000023,95.93089800000007,0.165,0.119,0.434,27,519,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0005,Sar Taung Station Hospital,ဆားတောင်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,high confidence,22.156382000000065,95.76169800000008,0.082,0.118,0.457,20,278,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0006,Myinmu Township Hospital,မြင်းမူမြို့နယ်ဆေးရုံ,Township,50,MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,high confidence,21.930829000000074,95.56406800000008,0.222,0.202,0.558,2,1970,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0007,Taw Chaung U Station Hospital,တော်ချောင်းဦးတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,high confidence,22.04093400000005,95.41166700000008,0.291,0.202,0.548,22,544,seasonal,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0008,Khwet Khwin Station Hospital,ခွက်ခွင်းတိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,probably accurate,22.075971000000038,95.55194800000004,0.095,0.183,0.466,3,554,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0009,Myaung Township Hospital,မြောင်မြို့နယ်ဆေးရုံ,Township,50,MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,high confidence,21.83444000000003,95.42421000000007,0.254,0.069,0.599,1,910,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
CL-0010,Kyauk Yit Station Hospital,ကျောက်ရစ်တိုက်နယ်ဆေးရုံ,Station,16,MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,high confidence,21.721758000000023,95.29652200000004,0.167,0.189,0.591,3,420,conflict_restricted,"location/name/facility_level/bed_class=REAL (MIMU 2020); population_served=derived from real bed_class; health rates/stock/road_risk=PLACEHOLDER, centered using real bed_class as a rurality proxy (not literal DHS/MICS data)"
